ein,org_name,city,state_code,dei_last_modified,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,total_revenue
86-0256667,A New Leaf Inc,Mesa,AZ,2022-07-15 00:00:00,White/Caucasian/European,Male,Decline to state,Decline to state,Decline to state,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,23.0,,1.0,2.0,,,,20.0,,,,,11.0,12.0,,,,,,0.0,23.0,,,,,,,,,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,446.0,13.0,32.0,193.0,,11.0,,170.0,8.0,,,19.0,352.0,91.0,,,3.0,,,,,,,,,,,,,31662926.0
95-3443276,Para Los Ninos,Los Angeles,CA,2021-05-19 14:44:04,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,22.0,3.0,1.0,7.0,,0.0,,11.0,0.0,,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,37.0,2.0,2.0,24.0,,0.0,,8.0,0.0,,1.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,,,,37.0,,,,37.0,444.0,17.0,14.0,372.0,,2.0,,29.0,10.0,,0.0,0.0,,,,,444.0,,,,444.0,,,,444.0,,,,444.0,48603238.0
13-2574854,Lutheran Immigration and Refugee Service,Baltimore,MD,2023-08-02 00:00:00,Asian/Asian American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15.0,1.0,4.0,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,,4.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,443.0,17.0,56.0,163.0,,,17.0,190.0,,,,,333.0,110.0,,,,,,,,,,,,,,,,207097711.0
95-4441208,After-School All-Stars,LOS ANGELES,CA,2022-03-30 10:43:01,Jewish,Male,,,,Hispanic/Latino/Latina/Latinx,Female,,,,28.0,,4.0,2.0,,,,21.0,1.0,,,,7.0,21.0,,,,,,,,,,,,,,,,15.0,,2.0,3.0,,,,8.0,,,,2.0,8.0,7.0,,,,,,,,,,,,,,,,443.0,7.0,218.0,74.0,,,,66.0,,,2.0,76.0,274.0,123.0,6.0,1.0,39.0,,,,,,,,,,,,,22271426.0
22-2852248,Village Enterprise Fund Inc,San Carlos,CA,2023-08-16 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,1.0,7.0,,,,,8.0,,,,,8.0,8.0,,,,,,,,,,,,,,,,18.0,,10.0,,,,,8.0,,,,,10.0,8.0,,,,,,,,,,,,,,,,440.0,,427.0,1.0,,,,12.0,,,,,224.0,216.0,,,,,,,,,,,,,,,,11795930.0
56-0928743,YMCA of Catawba Valley,HICKORY,NC,2023-08-22 15:26:28,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,23.0,,3.0,1.0,,,,19.0,,,,,7.0,16.0,,,,0.0,23.0,0.0,0.0,0.0,23.0,0.0,,0.0,23.0,0.0,,6.0,,1.0,,,,,5.0,,,,,3.0,3.0,,,,,6.0,,,,6.0,,,,6.0,,,439.0,8.0,51.0,35.0,,3.0,,336.0,,,,6.0,312.0,127.0,,,,0.0,0.0,,439.0,0.0,0.0,0.0,439.0,,439.0,,,11297403.0
23-1657958,Neumann University,ASTON,PA,2023-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,14.0,33.0,8.0,,1.0,,377.0,3.0,,,,264.0,172.0,,,,,,,,,,,,,,,,78022148.0
06-6010477,The Arc Eastern Connecticut Inc,Norwich,CT,2022-12-08 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,13.0,,1.0,,,1.0,,11.0,,,,,8.0,5.0,,,,,12.0,,1.0,,9.0,,4.0,1.0,,0.0,12.0,6.0,,,1.0,,,,5.0,,,,,5.0,1.0,,,,,6.0,,,3.0,3.0,,,,6.0,,,433.0,4.0,74.0,65.0,,9.0,,260.0,21.0,,,,,,,,,,,,,,,,,,,,433.0,20386624.0
95-4109386,Step Up On Second Street Inc,Santa Monica,CA,2023-08-18 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,1.0,3.0,2.0,,,,7.0,,,,,4.0,9.0,,,,,,,,,,,,3.0,10.0,,,7.0,,1.0,,,,,6.0,,,,,3.0,4.0,,,,,7.0,,,1.0,6.0,,,,1.0,,6.0,430.0,17.0,122.0,174.0,,3.0,,95.0,19.0,,,,276.0,138.0,16.0,,,,416.0,,14.0,,,,,,,,,41125286.0
23-2555950,Project Home,Philadelphia,PA,2023-02-15 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Decline to state,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Decline to state,26.0,,10.0,1.0,,,,15.0,,,,,17.0,9.0,,,,,,,,,,,,,,,,12.0,,5.0,,,,,7.0,,,,,10.0,2.0,,,,,,,,,,,,,,,,428.0,17.0,259.0,25.0,,1.0,,118.0,3.0,,,5.0,307.0,121.0,,,,,,,,,,,,,,,,58435083.0
94-3096716,Episcopal Community Services of San Francisco,San Francisco,CA,2022-04-19 10:06:01,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Decline to state,,,,,,19.0,4.0,3.0,1.0,,0.0,,10.0,1.0,0.0,,,9.0,10.0,,,,,,,,2.0,5.0,,12.0,,,,,18.0,5.0,1.0,2.0,,,,9.0,1.0,,,,7.0,11.0,,,,,,,,,,,,,,,,428.0,48.0,204.0,80.0,,2.0,,70.0,24.0,,,,227.0,201.0,,,,,,,,,,,,,,,,73591009.0
52-1638592,Chase Brexton Health Services Inc,Baltimore,MD,2022-03-01 16:04:06,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,2.0,,,,,9.0,,,,,6.0,5.0,,,,,11.0,,,,,,,,,,11.0,426.0,26.0,223.0,33.0,,1.0,,128.0,13.0,,2.0,,345.0,80.0,,1.0,,,,,426.0,,,,426.0,,,,,143512899.0
20-0049703,Wikimedia Foundation Org,San Francisco,CA,2022-01-21 19:16:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,1.0,,0.0,,5.0,2.0,,0.0,0.0,6.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,425.0,40.0,20.0,19.0,,2.0,,177.0,23.0,,3.0,141.0,144.0,140.0,0.0,0.0,141.0,,,,,,,,,,,,,167911116.0
13-1632524,American Lung Association,CHICAGO,IL,2021-10-19 06:18:10,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,2.0,3.0,,,,,13.0,,,,,6.0,12.0,,,,,,,,,,,,,,,,7.0,,,,,,,7.0,,,,,5.0,2.0,,,,,7.0,,,,,,,,7.0,,,424.0,10.0,37.0,31.0,,,,338.0,8.0,,,,359.0,65.0,,,,,,,,,,,,,,,,129392936.0
26-2961334,Isaiah House Inc,Willisburg,KY,2023-08-31 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,8.0,,1.0,,,,,7.0,,,,,2.0,6.0,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,1.0,3.0,,,,,4.0,,,,4.0,,,,4.0,,,423.0,1.0,20.0,1.0,,,,388.0,5.0,,8.0,,204.0,219.0,,,,,,,,,,,,9.0,393.0,21.0,,21645314.0
95-1690988,Exceptional Childrens Foundation A Corp,Culver City,CA,2022-10-04 00:00:00,Hispanic/Latino/Latina/Latinx,Female,,,Person without a disability,,,,,,21.0,,,,,,,,,,,,7.0,14.0,,,,,,,,,,,,1.0,20.0,,,5.0,1.0,,1.0,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,423.0,34.0,131.0,170.0,,0.0,,67.0,21.0,,,,283.0,140.0,,,,,,,,,,,,76.0,,,347.0,28260751.0
23-7396710,Glenwood Inc,Birmingham,AL,2021-08-12 14:48:56,White/Caucasian/European,Male,,,,,,,,,33.0,0.0,5.0,0.0,,0.0,,28.0,0.0,,,,,,,,,,,,,,,,,,,,,8.0,0.0,2.0,0.0,,0.0,,6.0,0.0,,,,5.0,3.0,,,,,,,,,,,,,,,,418.0,1.0,244.0,2.0,,2.0,,139.0,10.0,,,20.0,285.0,124.0,,,9.0,,,,,,,,,,,,,28253913.0
95-1690975,Childrens Bureau of Southern Calif,Los Angeles,CA,2022-08-30 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,17.0,1.0,2.0,1.0,,0.0,,12.0,0.0,1.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0,0.0,1.0,1.0,,0.0,,3.0,0.0,,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,418.0,18.0,27.0,295.0,,1.0,,67.0,10.0,,,,374.0,42.0,1.0,1.0,,,417.0,1.0,,,,,,,,,,47479306.0
53-0204616,National Wildlife Federation,Reston,VA,2023-08-25 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,34.0,1.0,3.0,2.0,,2.0,,21.0,0.0,5.0,,,17.0,17.0,,,,,,,,,,,,,,,,11.0,1.0,3.0,,,,,5.0,2.0,,,,4.0,7.0,,,,,,,,,,,,1.0,9.0,1.0,,415.0,29.0,35.0,34.0,,3.0,,302.0,12.0,,,,304.0,109.0,2.0,,,,,,,,,,,28.0,356.0,31.0,,112838964.0
58-0566236,The Sheltering Arms,Atlanta,GA,2023-07-03 00:00:00,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,28.0,1.0,10.0,1.0,,,,16.0,,,,,17.0,11.0,,,,,,,,,,,,,,,,5.0,,3.0,,,,,2.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,413.0,9.0,341.0,,,1.0,,16.0,44.0,2.0,,,384.0,29.0,,,,,,,,,,,,,,,,26836460.0
39-0806314,Young Mens Christian Association of Metropolitan Milwaukee,MILWAUKEE,WI,2022-02-11 12:15:14,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,,,,,,22.0,1.0,6.0,1.0,,,,14.0,,,,,9.0,13.0,,,,,,22.0,,,,22.0,,,,22.0,,4.0,,1.0,,,,,3.0,,,,,3.0,1.0,,,,,,4.0,,,,4.0,,,,4.0,,412.0,13.0,94.0,21.0,,,,272.0,12.0,,,,303.0,109.0,,,,,,412.0,,,,412.0,,,,412.0,,17367092.0
26-2763038,Kind Inc,Washington,DC,2022-10-12 00:00:00,White/Caucasian/European,Female,,,,,,,,,19.0,0.0,,4.0,,,,9.0,,,6.0,,10.0,9.0,,,,,,,,,,,,,,,,11.0,,2.0,1.0,,,,8.0,,,,,7.0,4.0,,,,,,,,,,,,,,,11.0,411.0,18.0,13.0,202.0,,1.0,,104.0,5.0,,68.0,,320.0,70.0,,21.0,,,,,,,,,,9.0,78.0,324.0,,46801634.0
55-0360199,Childrens Home Society of West Virginia,Charleston,WV,2023-04-05 11:34:28,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,23.0,,4.0,,,,,19.0,,,,,16.0,7.0,,,,,,,23.0,,,,23.0,2.0,,,21.0,12.0,,1.0,,,,,11.0,,,,,9.0,3.0,,,,,,,12.0,,,,12.0,,,,12.0,411.0,2.0,32.0,2.0,,,,348.0,,,27.0,,325.0,86.0,,,,2.0,409.0,,,4.0,203.0,,204.0,,,,411.0,26416852.0
41-0941924,Minnesota Diversified Industries Inc,MINNEAPOLIS,MN,2022-08-29 00:00:00,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,,2.0,,,,,8.0,,,,,,,,,,0.0,10.0,,,,,,,2.0,8.0,,,9.0,,1.0,1.0,,,,7.0,,,,,5.0,4.0,,,,,9.0,,,,,,,9.0,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,210.0,200.0,,,10486776.0
52-1328557,National Center for Missing and Exploited Children,ALEXANDRIA,VA,2023-08-30 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,31.0,,,,,,,,,,,31.0,14.0,17.0,,,,,,,31.0,,,,31.0,,,,31.0,14.0,,,,,,,,,,,14.0,8.0,6.0,,,,,,,14.0,,,,14.0,,,,14.0,409.0,,,,,,,,,,,409.0,,,,,409.0,,,,,,,,,,,,,60183871.0
23-7178820,Valley Youth House Committee,Bethlehem,PA,2022-04-08 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,44.0,1.0,7.0,3.0,,,,33.0,,,,,15.0,29.0,,,,,44.0,,,,,,,,,,,16.0,,4.0,,,,,12.0,,,,,10.0,6.0,,,,,16.0,,,,,,,,,,,408.0,6.0,106.0,33.0,,1.0,,243.0,12.0,7.0,,,320.0,88.0,,,,,,,,,,,,,,,,38836963.0
54-1327878,United Network for Organ Sharing,Richmond,VA,2023-04-24 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,42.0,7.0,7.0,2.0,,,,26.0,,,,0.0,20.0,22.0,,,,,,,,,,,,,,,,19.0,2.0,1.0,,1.0,,,15.0,,,,,10.0,9.0,,,,,,,,,,,,,,,19.0,408.0,39.0,36.0,17.0,,1.0,,306.0,9.0,,,,247.0,161.0,,,,,,,,,,,,,,,,77700683.0
11-2683663,Cypress Hills Local Development Corporation Inc,Brooklyn,NY,2021-03-10 12:21:23,White/Caucasian/European,Female,,,,,,,,,16.0,0.0,5.0,8.0,,0.0,,3.0,,,,,9.0,7.0,,,,,,,,,,,,,,,,13.0,0.0,4.0,4.0,,,,5.0,,,,,9.0,4.0,,,,,,,,,,,,,,,,404.0,20.0,118.0,227.0,,2.0,,25.0,12.0,,,,271.0,133.0,,,,,,,,,,,,,,,,19227738.0
86-0814898,Chiricahua Community Health Centers Inc,ELFRIDA,AZ,2022-05-18 16:40:13,White/Caucasian/European,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,12.0,14.0,243.0,,,,121.0,5.0,,,9.0,,,,,,,,,,,,,,,,,,55152190.0
23-7056987,Mid-Willamette Valley Community Action Agency Inc,Salem,OR,2021-07-22 16:48:50,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,14.0,,2.0,1.0,,,,11.0,,,,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.0,4.0,2.0,125.0,,4.0,,242.0,13.0,,13.0,,318.0,76.0,,9.0,,,,,,,,,,,,,,64870186.0
23-1409677,Children and Adult Disability and Educational Services,Swarthmore,PA,2023-02-01 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,0.0,1.0,0.0,,0.0,,8.0,1.0,,,,4.0,6.0,,,,,,,10.0,,,,10.0,,,,10.0,12.0,,,,,,,12.0,,,,,10.0,2.0,,,,,,,12.0,,,,12.0,,,,12.0,402.0,4.0,242.0,17.0,,,,136.0,3.0,,,,323.0,79.0,,,,,,,402.0,,,,402.0,1.0,59.0,5.0,337.0,35402318.0
75-0800634,Childcaregroup,DALLAS,TX,2023-04-11 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,27.0,2.0,7.0,5.0,,,,13.0,,,,,18.0,9.0,,,,,27.0,,,,,,,,,,,6.0,,1.0,1.0,,,,4.0,,,,,4.0,2.0,,,,,6.0,,,,,,,,,,,402.0,9.0,200.0,142.0,,,,48.0,3.0,,,,380.0,22.0,,,,,,,,,,,,6.0,,,396.0,29694811.0
25-1198158,Child Development Centers Inc,Erie,PA,2022-10-11 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,9.0,,2.0,,,,,7.0,,,,,5.0,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,401.0,2.0,28.0,12.0,,,,350.0,9.0,,,,353.0,48.0,,,,,,,,,,,,,,,,26993736.0
06-0862072,The Carver Inc,Norwalk,CT,2021-05-26 14:11:06,Black/African American,Female,,,,,,,,,16.0,1.0,7.0,3.0,,0.0,,5.0,0.0,,0.0,0.0,7.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0,0.0,3.0,2.0,,0.0,,1.0,0.0,,0.0,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,400.0,12.0,152.0,64.0,,0.0,,172.0,0.0,,0.0,0.0,212.0,188.0,0.0,0.0,0.0,,,,,,,,,,,,,9148102.0
20-5010527,Living Goods,Oakland,CA,2022-03-21 16:58:57,White/Caucasian/European,Female,,,,,,,,,8.0,1.0,3.0,,,,,4.0,,,,,5.0,3.0,,,,,,,,,,,,,,,,8.0,1.0,3.0,,,,,4.0,,,,,5.0,3.0,,,,,,,,,,,,,,,,400.0,4.0,378.0,,,,,17.0,1.0,,,,213.0,187.0,,,,,,,,,,,,,,,,27387443.0
52-0915574,Bello Machre Inc,Glen Burnie,MD,2022-12-13 00:00:00,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,13.0,,,,,,,,,,13.0,,,,,13.0,,,,13.0,,,,13.0,,,,13.0,,9.0,,,,,,,,,,9.0,,,,,9.0,,,,9.0,,,,9.0,,,,9.0,,400.0,,,,,,,,,,400.0,,,,,400.0,,,,400.0,,,,400.0,,,,400.0,,25969354.0
91-0787084,Lifeline Connections,Vancouver,WA,2023-06-26 00:00:00,,,,Decline to state,Decline to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,8.0,,,,,8.0,,,,8.0,,,,8.0,,,,8.0,,400.0,,,,,,,,,,400.0,,,,,400.0,,,,400.0,,,,400.0,,,,400.0,,33559822.0
20-0764162,Cambodian Childrens Fund,SANTA MONICA,CA,2023-04-26 00:00:00,,Male,,,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,,,,,,6.0,,,,,4.0,6.0,,,,,,,10.0,,,,10.0,,10.0,,,399.0,389.0,,,,,,10.0,,,,,209.0,190.0,,,,,,,399.0,,,,399.0,,399.0,,,15367074.0
23-7060561,Boys and Girls Clubs of Palm Beach County Inc,West Palm Beach,FL,2023-01-12 00:00:00,Hispanic/Latino/Latina/Latinx,Female,,,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,1.0,,,,6.0,,,,,5.0,3.0,,,,,,,,,,,,,,,,393.0,2.0,279.0,44.0,,1.0,,62.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,20667962.0
13-5563028,Osborne Association Inc,Bronx,NY,2023-02-23 00:00:00,Asian/Asian American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,24.0,0.0,5.0,4.0,0.0,0.0,0.0,15.0,0.0,,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,,,22.0,,,,,14.0,2.0,4.0,,,,,8.0,,,,,12.0,2.0,,,,,14.0,,,,,,14.0,,14.0,,,391.0,11.0,192.0,98.0,,4.0,,67.0,19.0,,,,191.0,196.0,,,4.0,0.0,,,391.0,1.0,,,390.0,110.0,,,281.0,36007350.0
68-0412350,Foundation for California Community Colleges,Sacramento,CA,2021-04-30 18:01:00,White/Caucasian/European,Female,,,Decline to state,,,,,,11.0,1.0,1.0,4.0,,,,5.0,,,,,4.0,7.0,,,,,,,,,,,,,,,,11.0,2.0,,2.0,,,,6.0,1.0,,,,6.0,5.0,,,,,,,,,,,,,,,,391.0,36.0,31.0,117.0,,2.0,,119.0,15.0,,71.0,,246.0,142.0,,3.0,,,,,,,,,,,,,,113927306.0
06-0653142,United Community and Family Services Inc,Norwich,CT,2020-11-16 11:10:08,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,,,,,,15.0,,,,,,,,,,15.0,,,,,15.0,,,,15.0,,,,15.0,,,,15.0,,4.0,,,,,,,,,,4.0,,,,,4.0,,,,4.0,,,,4.0,,,,4.0,,389.0,,,,,,,,,,389.0,,,,,,,,,,,,,,,,,389.0,,34563252.0
52-1801849,Foundations Inc,Mount Laurel,NJ,2022-07-08 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,9.0,0.0,4.0,0.0,,0.0,,5.0,0.0,,,,4.0,5.0,0.0,,,,,,,,,,,,,,,10.0,0.0,1.0,1.0,,0.0,,8.0,0.0,,,,6.0,4.0,0.0,,,,,,,,,,,0.0,10.0,,,383.0,6.0,176.0,13.0,,0.0,,175.0,3.0,,0.0,10.0,258.0,125.0,0.0,,,,,,,,,,,,383.0,,,9086807.0
38-2410852,Kettering University,Flint,MI,2021-04-20 14:41:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,23.0,27.0,8.0,,2.0,,302.0,2.0,5.0,2.0,11.0,180.0,201.0,1.0,,,,,,,,,,,,,,,108871575.0
56-2253814,Employment Source Inc,Oakton,VA,2022-11-22 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,1.0,,1.0,,,,9.0,,,,3.0,3.0,9.0,,,2.0,,12.0,,2.0,,,,,,,,,12.0,1.0,,,,,,10.0,,,,1.0,3.0,9.0,,,,,12.0,,,,,,,,,,,382.0,19.0,234.0,17.0,,4.0,,101.0,7.0,,,,189.0,193.0,,,,0.0,382.0,,,,,,,164.0,72.0,146.0,,17714777.0
95-1881491,Mental Health America of Los Angeles,Long Beach,CA,2023-04-17 00:00:00,Native American/American Indian/Alaska Native/Indigenous,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,1.0,2.0,2.0,,,,5.0,,,,,5.0,5.0,,,,,,,,,10.0,,,,,,,7.0,1.0,1.0,1.0,,,,3.0,1.0,,,,5.0,2.0,,,,,,,,,,,,,,,,379.0,28.0,80.0,140.0,,2.0,4.0,89.0,35.0,,1.0,,252.0,127.0,,,,,,,,,,,,8.0,371.0,,,48662185.0
23-7107958,Social Advocates for Youth San Diego Inc,San Diego,CA,2023-08-29 00:00:00,White/Caucasian/European,Female,Decline to state,Decline to state,Person without a disability,,,,,,13.0,1.0,4.0,1.0,,,,7.0,,,,,9.0,4.0,,,,,,13.0,,,,,,,,,,37.0,3.0,3.0,12.0,,0.0,,17.0,2.0,,,,32.0,5.0,,,,,,,,,,,,,,,,377.0,40.0,39.0,171.0,,1.0,,96.0,30.0,,,,305.0,72.0,,,,,,,,,,,,,,,,18306595.0
94-1498472,Catholic Charities Cyo of the Archdiocese of San Francisco,SAN FRANCISCO,CA,2023-03-14 00:00:00,White/Caucasian/European,Female,,,,,,,,,27.0,4.0,2.0,4.0,,,,17.0,,,,,12.0,15.0,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,375.0,47.0,57.0,125.0,0.0,2.0,2.0,113.0,19.0,,10.0,,,,,,,,,,,,,,,,,,,50148984.0
95-1977659,WAYFINDER FAMILY SERVICES,View Park,CA,2022-01-18 10:50:35,Decline to state,Female,Decline to state,Decline to state,Person without a disability,,,,,,14.0,,2.0,2.0,,,,10.0,,,,,3.0,11.0,,,,,,,,,,,,1.0,13.0,,,7.0,,,2.0,,,,5.0,,,,,6.0,1.0,,,,,,,,,,,,,,7.0,,375.0,23.0,158.0,116.0,,1.0,,55.0,19.0,,3.0,,258.0,117.0,,,,,,,,,,,,23.0,352.0,,,46169493.0
22-1500529,Spectrum 360 A New Jersey Nonprofit Corporation,Verona,NJ,2022-05-16 08:45:37,White/Caucasian/European,Male,,,,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,1.0,,,,,10.0,,,,,10.0,1.0,,,,,,,,,,,,,,,,374.0,9.0,103.0,51.0,,,,209.0,2.0,,,,292.0,82.0,,,,,,,,,,,,,,,,32897853.0
94-1575233,Planned Parenthood Shasta Diablo Inc,Concord,CA,2023-03-13 00:00:00,Hispanic/Latino/Latina/Latinx,Female,,,,,,,,,12.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,373.0,38.0,26.0,145.0,,,,144.0,20.0,,,,336.0,36.0,1.0,,,,,,,,,,,,,,,52376605.0
